S,E,I,R
19965,15,17,3
19948,25,21,6
19935,33,20,12
19917,37,33,13
19881,60,42,17
19835,87,53,25
19788,107,68,37
19721,137,92,50
19615,199,130,56
19473,267,185,75
19324,312,251,113
19082,431,338,149
18811,539,450,200
18419,736,573,272
17934,946,750,370
17280,1229,991,500
16567,1504,1261,668
15660,1866,1588,886
14594,2232,2034,1140
13267,2718,2548,1467
11809,3162,3173,1856
10290,3493,3876,2341
8675,3744,4664,2917
7136,3851,5397,3616
5733,3809,6025,4433
4426,3731,6610,5233
3368,3346,7070,6216
2542,2885,7368,7205
1898,2488,7489,8125
1449,1987,7449,9115
1138,1551,7247,10064
896,1221,6940,10943
728,973,6536,11763
608,769,6055,12568
544,567,5610,13279
503,460,5096,13941
479,357,4627,14537
447,284,4166,15103
434,221,3731,15614
403,213,3294,16090
437,159,2957,16447
442,144,2634,16780
464,127,2364,17045
500,117,2073,17310
527,108,1831,17534
555,105,1646,17694
582,89,1447,17882
627,87,1263,18023
662,79,1133,18126
679,98,1006,18217
724,78,910,18288
790,61,793,18356
837,58,701,18404
870,61,625,18444
929,56,568,18447
975,52,499,18474
1027,52,466,18455
1079,42,414,18465
1129,37,382,18452
1176,34,347,18443
1226,33,298,18443
1286,30,262,18422
1340,24,237,18399
1380,31,207,18382
1437,25,192,18346
1480,20,178,18322
1525,17,156,18302
1588,14,135,18263
1647,14,116,18223
1716,16,98,18170
1777,15,77,18131
1817,11,69,18103
1898,8,67,18027
1956,5,62,17977
2008,14,56,17922
2069,11,56,17864
2117,11,52,17820
2188,6,50,17756
2232,16,42,17710
2286,15,45,17654
2335,13,41,17611
2399,12,41,17548
2453,13,39,17495
2523,7,44,17426
2572,6,40,17382
2618,7,36,17339
2673,8,28,17291
2721,9,26,17244
2770,8,24,17198
2826,6,26,17142
2877,11,24,17088
2933,8,24,17035
2979,11,25,16985
3029,13,24,16934
3080,13,24,16883
3140,12,26,16822
3190,8,28,16774
3229,8,32,16731
3268,9,34,16689
3312,7,32,16649
3347,9,27,16617
3391,12,27,16570
3428,10,28,16534
3470,15,31,16484
3506,17,31,16446
3555,15,27,16403
3606,8,31,16355
3659,4,31,16306
3711,2,23,16264
3753,4,22,16221
3800,7,20,16173
3842,9,17,16132
3886,6,19,16089
3934,7,20,16039
3975,7,21,15997
4018,9,17,15956
4065,6,19,15910
4105,8,14,15873
4154,5,18,15823
4192,8,17,15783
4232,8,20,15740
4276,4,21,15699
4308,8,21,15663
4353,9,20,15618
4396,7,19,15578
4436,8,17,15539
4482,5,18,15495
4536,2,20,15442
4573,4,19,15404
4616,5,17,15362
4668,6,18,15308
4709,5,18,15268
4756,6,18,15220
4801,9,18,15172
4835,11,18,15136
4867,11,20,15102
4919,10,17,15054
4954,6,20,15020
4991,10,18,14981
5027,11,19,14943
5064,9,23,14904
5114,14,23,14849
5141,16,25,14818
5183,18,23,14776
5229,18,22,14731
5268,11,32,14689
5314,9,30,14647
5342,12,31,14615
5385,12,31,14572
5429,10,27,14534
5474,8,28,14490
5520,9,25,14446
5552,12,24,14412
5584,16,27,14373
5612,15,31,14342
5637,23,30,14310
5680,22,37,14261
5721,22,38,14219
5751,21,40,14188
5797,22,40,14141
5825,21,46,14108
5849,20,49,14082
5871,27,50,14052
5901,29,45,14025
5927,30,44,13999
5958,24,50,13968
5991,30,49,13930
6026,32,50,13892
6054,31,56,13859
6077,29,58,13836
6100,37,59,13804
6109,45,71,13775
6129,43,86,13742
6155,47,90,13708
6181,50,96,13673
6185,55,95,13665
6204,57,105,13634
6207,63,107,13623
6218,58,119,13605
6205,78,122,13595
6211,79,139,13571
6211,83,154,13552
6218,90,164,13528
6217,97,173,13513
6213,111,173,13503
6224,101,188,13487
6214,109,193,13484
6203,117,202,13478
6200,120,216,13464
6193,130,227,13450
6182,137,241,13440
